Name;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013
Leart;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10
Lee;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;11
Lennon;0;0;0;0;0;0;0;0;0;12;0;10;11;15;14;23
Lennox;0;0;0;0;0;0;0;0;0;0;0;17;28;22;35;63
Leo;109;140;178;238;312;454;575;631;666;658;682;681;757;634;666;613
Leon;36;55;71;71;107;135;147;236;273;262;301;359;371;358;381;378
León;0;0;0;0;0;0;0;0;20;0;12;11;0;16;17;0
Léon;0;0;0;0;0;0;11;27;18;14;23;22;31;38;28;30
Leonard;22;27;44;33;35;53;47;44;50;48;48;47;53;42;63;52
Leonardo;12;24;18;19;21;24;21;36;28;36;25;40;33;31;29;45
Leonel;0;0;0;0;0;0;0;0;0;0;0;14;25;20;29;34
Leonidas;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10
Leopold;0;0;0;16;15;19;19;22;18;19;25;22;24;19;16;19
Levi;0;0;0;0;11;10;0;13;0;25;44;51;90;108;127;104
Levin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0
Levis;0;0;0;0;0;0;0;0;0;0;10;14;15;25;18;17
Lewis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
Lex;0;0;0;0;0;0;0;0;0;0;13;11;0;10;11;12
Lexus;0;0;0;0;0;0;0;0;0;0;0;0;0;10;17;0
Liam;57;98;147;209;296;522;537;670;643;745;744;680;782;746;720;706
Lias;0;0;0;0;0;0;0;0;12;10;15;14;20;22;21;11
Linus;749;770;808;850;815;853;743;730;671;544;508;419;393;325;252;235
Lion;0;0;0;0;0;0;0;0;0;11;0;10;21;22;38;43
Lionel;0;0;0;0;0;0;0;0;0;11;12;15;41;62;61;42
Lo;0;0;0;0;0;0;10;0;0;0;0;12;22;18;18;39
Loa;0;0;0;0;0;0;0;0;0;10;10;11;13;14;22;22
Loke;0;23;23;38;54;86;103;110;112;153;141;163;179;230;220;258
Lorenzo;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;10
Lorik;0;0;0;0;0;0;0;0;0;0;0;0;12;15;12;18
Lou;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Loui;0;0;0;0;0;0;0;0;0;0;0;15;20;24;53;96
Louie;0;0;0;0;0;0;0;0;0;0;0;11;23;26;43;65
Louis;0;0;0;0;0;0;0;0;0;0;0;0;0;10;18;18
Love;70;76;90;114;112;137;139;141;161;180;155;219;278;249;247;223
Lowe;13;10;13;20;18;42;43;41;74;59;43;50;79;67;76;71
Luca;0;0;0;0;0;0;0;0;0;14;19;19;11;0;14;14
Lucas;370;402;474;448;490;566;559;587;607;574;589;611;624;578;506;538
Ludvig;304;297;327;388;343;407;448;436;403;424;397;390;414;424;388;387
Ludwig;164;171;155;165;191;227;214;176;211;174;179;165;162;141;174;192
Luka;0;0;0;10;12;0;10;17;19;24;16;22;26;19;19;11
Lukas;381;456;412;442;487;502;524;502;556;485;491;491;397;374;391;389
Lukaz;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
Luke;0;0;0;0;0;0;0;0;0;0;0;10;0;0;11;0
Luqman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Magnus;78;44;50;49;42;29;24;30;17;17;17;25;18;10;11;0
Mahamed;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;22
Mahdi;0;0;0;0;0;0;0;0;15;15;0;0;14;18;19;14
Mahir;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
Mahmoud;0;10;0;10;11;10;0;0;0;0;15;0;11;10;17;0
Maksim;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0
Malcolm;16;19;15;21;23;24;26;23;22;26;26;24;25;19;28;33
Malcom;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;10
Malek;0;0;0;0;0;0;0;0;10;0;0;0;18;16;0;18
Malik;0;0;0;0;0;0;13;10;20;0;13;19;14;15;24;32
Malte;32;44;54;88;119;168;196;227;240;330;295;342;318;326;313;350
Manfred;11;10;10;16;16;13;16;15;24;25;18;29;33;20;23;35
Manne;0;10;0;0;15;11;18;11;12;12;18;15;28;26;25;17
Manuel;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0
Marc;0;10;0;0;0;0;0;0;0;0;0;0;0;0;10;0
Marcel;0;10;12;10;0;0;10;0;0;0;13;10;19;17;28;25
Marco;18;18;17;21;18;13;0;14;0;11;11;11;0;13;0;0
Marcus;648;599;576;493;462;414;379;282;209;211;171;131;107;96;77;61
Mario;15;12;0;12;11;14;18;16;23;20;17;15;15;20;10;24
Marius;0;0;0;0;15;12;18;20;24;19;23;0;21;13;18;14
Mark;15;15;13;0;10;11;0;0;0;0;11;10;0;16;0;15
Marko;16;19;12;11;15;19;14;19;14;10;0;15;10;13;13;14
Markus;260;253;200;181;163;165;134;127;102;92;92;64;44;43;43;40
