Name;y1998;y1999;y2000;y2001;y2002;y2003;y2004;y2005;y2006;y2007;y2008;y2009;y2010;y2011;y2012;y2013
Elna;0;0;0;12;12;19;29;11;19;35;29;28;25;38;34;31
Elona;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0
Elsa;224;210;259;308;427;473;619;602;624;722;772;768;719;716;750;762
Elsie;0;0;0;0;0;0;0;0;0;11;0;18;32;35;56;62
Elva;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
Elvina;0;0;0;0;0;0;0;0;14;12;0;17;13;21;0;0
Elvira;132;134;164;164;198;238;223;237;256;336;364;349;399;350;325;322
Elwira;0;0;0;0;0;13;0;0;12;14;11;14;12;16;20;18
Ema;0;0;0;0;0;0;0;0;0;0;0;10;10;0;10;0
Embla;19;18;19;29;52;48;49;51;71;75;67;71;57;50;48;34
Emeli;0;0;0;0;0;0;0;10;0;10;0;0;0;0;0;0
Emelia;12;0;0;0;13;0;0;0;14;10;11;0;14;0;10;0
Emelie;608;602;506;464;438;444;403;343;327;274;262;245;194;171;160;133
Emely;0;10;0;0;13;0;0;0;0;0;0;0;0;0;0;0
Emilia;307;611;601;563;629;626;565;553;630;580;520;542;517;499;471;478
Emilie;24;22;17;17;21;24;17;17;19;18;19;14;0;15;14;0
Emilija;0;0;0;0;0;0;0;0;0;0;0;11;0;10;0;0
Emily;50;35;49;36;30;40;43;43;43;44;47;49;41;46;51;51
Emina;14;16;18;14;17;13;19;18;14;29;30;16;15;20;15;19
Emma;1467;1394;1186;1115;1220;1375;1260;1103;1014;831;818;787;712;635;619;559
Emmelie;22;18;13;12;16;13;0;10;0;0;0;0;0;0;0;0
Emmi;0;10;12;10;16;21;20;11;21;22;17;16;19;25;16;18
Emmie;43;35;47;49;40;53;74;69;57;62;64;58;68;61;43;34
Emmy;128;136;155;127;128;127;143;144;131;124;118;119;116;105;102;99
Emy;13;11;0;0;0;15;12;11;17;0;0;0;0;0;11;10
Engla;11;16;30;56;75;94;105;147;209;224;169;44;40;51;37;26
Enja;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
Enya;0;0;0;13;16;21;21;25;28;42;43;63;84;62;50;62
Erica;107;96;93;64;53;39;53;29;31;22;20;16;0;0;0;0
Erika;127;116;96;70;69;55;47;45;29;25;31;31;21;20;10;24
Erina;0;0;0;0;0;0;0;0;0;0;0;0;11;10;12;0
Erna;0;0;0;11;0;0;12;0;10;10;0;0;0;0;0;0
Erza;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0
Esma;0;0;0;0;0;0;0;0;0;0;18;11;0;12;12;16
Esmeralda;15;0;15;11;14;19;20;10;22;38;30;36;28;36;31;34
Esra;10;10;10;0;0;0;11;0;0;0;0;0;0;0;0;0
Estelle;0;14;12;17;25;20;29;39;39;33;41;38;53;64;55;33
Ester;25;31;36;47;63;98;101;142;152;193;198;241;236;223;249;258
Esther;13;21;21;25;27;35;32;68;79;84;77;87;102;121;130;141
Estrid;0;0;0;0;0;0;10;0;0;12;15;17;18;18;28;32
Ethel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Eva;18;16;16;19;15;19;16;14;23;22;28;36;24;26;31;36
Evelin;0;10;0;0;0;10;10;0;0;0;12;0;12;0;11;16
Evelina;310;315;269;204;251;220;225;211;210;174;192;176;191;151;117;110
Eveline;11;10;18;0;0;0;0;0;10;0;0;0;0;0;11;11
Evelyn;13;12;0;14;13;16;11;15;11;11;17;23;28;17;30;31
Evin;0;0;0;0;0;0;0;0;0;10;0;0;11;0;11;10
Fannie;10;18;0;14;0;12;0;0;0;0;0;0;0;0;0;0
Fanny;392;354;323;278;293;268;216;208;177;165;144;130;116;119;96;83
Farah;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0
Fatima;29;32;26;38;39;38;28;43;44;45;45;64;72;57;73;68
Fatma;10;11;13;0;0;0;10;13;10;13;10;16;15;15;14;17
Felicia;721;617;661;635;624;600;509;531;518;658;452;431;399;372;342;345
Felizia;0;0;11;0;0;0;13;0;15;10;12;12;11;0;0;0
Fia;14;11;0;11;14;21;0;0;13;12;0;0;10;0;0;0
Fideli;0;0;0;0;17;0;0;0;0;0;0;0;0;0;0;0
Filippa;246;289;307;292;373;376;424;526;448;427;339;305;252;259;215;196
Fiona;0;0;0;0;0;10;12;21;14;14;21;13;16;17;19;27
Flora;0;0;0;0;0;0;12;14;25;31;25;32;41;19;41;53
Florence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Franka;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0
Fredrica;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fredrika;30;40;29;22;26;24;19;17;22;17;12;12;17;10;19;14
Freija;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10
Freja;51;37;49;51;55;89;118;128;254;297;306;271;332;447;418;464
Freya;0;0;0;0;0;0;0;0;13;19;32;28;39;34;63;61
Freyja;0;0;0;0;0;0;0;0;0;0;0;0;0;11;10;0
Frida;609;494;476;389;455;459;423;406;320;293;219;199;163;146;128;101
Gabriela;0;0;0;0;0;0;0;13;10;12;0;20;10;16;12;0
Gabriella;135;138;115;80;86;102;91;89;87;79;78;85;70;70;64;58
Gabrielle;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;12
Gerda;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0
Gina;0;0;11;0;0;0;0;0;0;13;0;0;0;0;0;0
Gloria;0;0;0;0;0;15;0;0;0;0;0;0;26;18;17;18
Grace;0;0;0;0;0;0;0;0;11;12;10;11;0;12;15;18
Greta;20;34;27;39;40;44;72;88;82;77;95;130;158;137;150;174
Gry;0;11;12;0;0;16;21;15;17;20;29;31;30;39;55;42
Hafsa;0;0;0;0;0;0;0;0;0;0;0;0;11;0;20;12
